spring,uframe_route,driver
ooi-adcpa-m-glider-decode.xml,Ingest.adcpa-m-glider_recovered,mi.dataset.driver.moas.gl.adcpa.adcpa_m_glider_recovered_driver
ooi-adcpa-m-glider-decode.xml,Ingest.adcpa-m-glider_telemetered,mi.dataset.driver.moas.gl.adcpa.adcpa_m_glider_telemetered_driver
ooi-adcpa-n-auv-decode.xml,Ingest.adcpa-n-auv_telemetered,mi.dataset.driver.adcpa_n.auv.adcpa_n_auv_telemetered_driver
ooi-adcpa-n-decode.xml,Ingest.adcpa-n_recovered,mi.dataset.driver.adcpa_n.adcpa_n_recovered_driver
ooi-adcps-jln-decode.xml,Ingest.adcps-jln_recovered,mi.dataset.driver.adcps_jln.adcps_jln_driver
ooi-adcps-jln-sio-decode.xml,Ingest.adcps-jln-sio_recovered,mi.dataset.driver.adcps_jln.adcps_jln_driver
ooi-adcps-jln-sio-decode.xml,Ingest.adcps-jln-sio_telemetered,mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver
ooi-adcps-jln-stc-decode.xml,Ingest.adcps-jln-stc_recovered,mi.dataset.driver.adcps_jln.stc.adcps_jln_stc_recovered_driver
ooi-adcps-jln-stc-decode.xml,Ingest.adcps-jln-stc_telemetered,mi.dataset.driver.adcps_jln.stc.adcps_jln_stc_telemetered_driver
ooi-adcpt-acfgm-dcl-pd0-decode.xml,Ingest.adcpt-acfgm-dcl-pd0_recovered,mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_recovered_driver
ooi-adcpt-acfgm-dcl-pd0-decode.xml,Ingest.adcpt-acfgm-dcl-pd0_telemetered,mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_telemetered_driver
ooi-adcpt-acfgm-dcl-pd8-decode.xml,Ingest.adcpt-acfgm-dcl-pd8_recovered,mi.dataset.driver.adcpt_acfgm.dcl.pd8.adcpt_acfgm_dcl_pd8_recovered_driver
ooi-adcpt-acfgm-dcl-pd8-decode.xml,Ingest.adcpt-acfgm-dcl-pd8_telemetered,mi.dataset.driver.adcpt_acfgm.dcl.pd8.adcpt_acfgm_dcl_pd8_telemetered_driver
ooi-adcpt-m-dspec-decode.xml,Ingest.adcpt-m-dspec_recovered,mi.dataset.driver.adcpt_m.adcpt_m_dspec_recovered_driver
ooi-adcpt-m-fcoeff-decode.xml,Ingest.adcpt-m-fcoeff_recovered,mi.dataset.driver.adcpt_m.adcpt_m_fcoeff_recovered_driver
ooi-adcpt-m-log9-decode.xml,Ingest.adcpt-m-log9_recovered,mi.dataset.driver.adcpt_m.adcpt_m_log9_recovered_driver
ooi-adcpt-m-wvs-decode.xml,Ingest.adcpt-m-wvs_recovered,mi.dataset.driver.adcpt_m.wvs.adcpt_m_wvs_recovered_driver
